ts,ready,running,completed,failed,queue_lag_seconds,throughput_per_second,avg_wait_priority_100,avg_wait_priority_0
2026-05-07T22:43:20.430030,35964,2,1320,0,151.490,12,43.717,0.015
2026-05-07T22:43:21.448226,36262,2,1328,0,152.511,8,44.057,0.015
2026-05-07T22:43:22.466862,36560,2,1335,0,153.525,7,44.471,0.015
2026-05-07T22:43:23.489429,36857,2,1345,0,154.549,10,44.886,0.015
2026-05-07T22:43:24.514021,37154,2,1353,0,155.567,8,45.225,0.015
2026-05-07T22:43:25.533049,37453,2,1361,0,156.591,8,45.603,0.015
2026-05-07T22:43:26.551259,37753,2,1369,0,157.614,8,45.980,0.015
2026-05-07T22:43:27.568594,38047,2,1379,0,158.628,10,46.359,0.015
2026-05-07T22:43:28.591851,38345,2,1387,0,159.650,8,46.701,0.015
2026-05-07T22:43:29.610647,38641,2,1397,0,160.668,10,47.119,0.015
2026-05-07T22:43:30.627415,38937,2,1407,0,161.689,9,47.499,0.015
2026-05-07T22:43:31.647683,39232,2,1417,0,162.707,10,47.881,0.015
2026-05-07T22:43:32.669850,39528,2,1427,0,163.727,10,48.263,0.015
2026-05-07T22:43:33.684837,39824,2,1437,0,164.747,10,48.645,0.015
2026-05-07T22:43:34.721224,40120,2,1446,0,165.764,9,48.990,0.015
2026-05-07T22:43:35.739171,40418,2,1458,0,166.797,10,49.451,0.015
2026-05-07T22:43:36.757680,40717,2,1465,0,167.816,7,49.758,0.015
2026-05-07T22:43:37.781286,41013,2,1475,0,168.836,10,50.143,0.015
2026-05-07T22:43:38.805142,41312,2,1483,0,169.858,8,50.492,0.015
2026-05-07T22:43:39.835608,41608,2,1494,0,170.898,10,50.918,0.015
2026-05-07T22:43:40.854433,41906,2,1505,0,171.912,11,51.345,0.015
2026-05-07T22:43:41.876963,42202,2,1516,0,172.935,11,51.771,0.015
2026-05-07T22:43:42.901256,42501,2,1523,0,173.956,7,52.121,0.015
2026-05-07T22:43:43.922983,42801,2,1530,0,174.978,7,52.472,0.015
2026-05-07T22:43:44.945281,43098,2,1539,0,176.000,8,52.939,0.015
2026-05-07T22:43:45.971467,43396,2,1549,0,177.026,10,53.330,0.015
2026-05-07T22:43:47.005182,43696,2,1556,0,178.054,7,53.720,0.015
2026-05-07T22:43:48.027381,43998,2,1564,0,179.081,8,54.111,0.015
2026-05-07T22:43:49.055083,44296,2,1574,0,180.110,10,54.502,0.015
2026-05-07T22:43:50.076760,44592,2,1584,0,181.131,10,54.933,0.015
2026-05-07T22:43:51.099376,44890,2,1593,0,182.153,9,55.325,0.015
2026-05-07T22:43:52.115950,45191,2,1599,0,183.177,5,55.678,0.015
2026-05-07T22:43:53.146112,45488,2,1608,0,184.197,9,56.032,0.015
2026-05-07T22:43:54.164590,45785,2,1618,0,185.222,10,56.425,0.015
2026-05-07T22:43:55.189507,46084,2,1627,0,186.242,9,56.859,0.015
